,long,short,ticker,timestamp
91,WAX,WAX,WAX/USD,2018-05-02 12:20:06.608871
92,Gifto,GTO,GTO/USD,2018-05-02 12:20:06.608871
93,Veritaseum,VERI,VERI/USD,2018-05-02 12:20:06.608871
94,Enigma,ENG,ENG/USD,2018-05-02 12:20:06.608871
95,Power Ledger,POWR,POWR/USD,2018-05-02 12:20:06.608871
96,Neblio,NEBL,NEBL/USD,2018-05-02 12:20:06.608871
97,ZCoin,XZC,XZC/USD,2018-05-02 12:20:06.608871
98,Nucleus Vision,NCASH,NCASH/USD,2018-05-02 12:20:06.608871
99,ChainLink,LINK,LINK/USD,2018-05-02 12:20:06.608871
100,Request Network,REQ,REQ/USD,2018-05-02 12:20:06.608871
101,Decentraland,MANA,MANA/USD,2018-05-02 12:20:06.608871
102,Monaco,MCO,MCO/USD,2018-05-02 12:20:06.608871
103,Kin,KIN,KIN/USD,2018-05-02 12:20:06.608871
104,Electroneum,ETN,ETN/USD,2018-05-02 12:20:06.608871
105,Achain,ACT,ACT/USD,2018-05-02 12:20:06.608871
106,Revain,R,R/USD,2018-05-02 12:20:06.608871
107,TenX,PAY,PAY/USD,2018-05-02 12:20:06.608871
108,Ethos [BQX],ETHOS,ETHOS/USD,2018-05-02 12:20:06.608871
109,Bottos,BTO,BTO/USD,2018-05-02 12:20:06.608871
110,MaidSafeCoin,MAID,MAID/USD,2018-05-02 12:20:06.608871
111,Byteball Bytes,GBYTE,GBYTE/USD,2018-05-02 12:20:06.608871
112,Cindicator,CND,CND/USD,2018-05-02 12:20:06.608871
113,Time New Bank,TNB,TNB/USD,2018-05-02 12:20:06.608871
114,DeepBrain Chain,DBC,DBC/USD,2018-05-02 12:20:06.608871
115,Storj,STORJ,STORJ/USD,2018-05-02 12:20:06.608871
116,Nuls,NULS,NULS/USD,2018-05-02 12:20:06.608871
117,Iconomi,ICN,ICN/USD,2018-05-02 12:20:06.608871
118,Polymath,POLY,POLY/USD,2018-05-02 12:20:06.608871
119,Civic,CVC,CVC/USD,2018-05-02 12:20:06.608871
120,Skycoin,SKY,SKY/USD,2018-05-02 12:20:06.608871
121,ZenCash,ZEN,ZEN/USD,2018-05-02 12:20:06.608871
122,Emercoin,EMC,EMC/USD,2018-05-02 12:20:06.608871
123,Particl,PART,PART/USD,2018-05-02 12:20:06.608871
124,POA Network,POA,POA/USD,2018-05-02 12:20:06.608871
125,Matrix AI Net...,MAN,MAN/USD,2018-05-02 12:20:06.608871
126,SIRIN LABS Token,SRN,SRN/USD,2018-05-02 12:20:06.608871
127,Ruff,RUFF,RUFF/USD,2018-05-02 12:20:06.608871
128,BOScoin,BOS,BOS/USD,2018-05-02 12:20:06.608871
129,Huobi Token,HT,HT/USD,2018-05-02 12:20:06.608871
130,Po.et,POE,POE/USD,2018-05-02 12:20:06.608871
131,SmartMesh,SMT,SMT/USD,2018-05-02 12:20:06.608871
132,Nexus,NXS,NXS/USD,2018-05-02 12:20:06.608871
133,iExec RLC,RLC,RLC/USD,2018-05-02 12:20:06.608871
134,SmartCash,SMART,SMART/USD,2018-05-02 12:20:06.608871
135,Metal,MTL,MTL/USD,2018-05-02 12:20:06.608871
136,Quantstamp,QSP,QSP/USD,2018-05-02 12:20:06.608871
137,Genaro Network,GNX,GNX/USD,2018-05-02 12:20:06.608871
138,BitcoinDark,BTCD,BTCD/USD,2018-05-02 12:20:06.608871
139,Paypex,PAYX,PAYX/USD,2018-05-02 12:20:06.608871
140,Gnosis,GNO,GNO/USD,2018-05-02 12:20:06.608871
141,TokenPay,TPAY,TPAY/USD,2018-05-02 12:20:06.608871
142,Apex,CPX,CPX/USD,2018-05-02 12:20:06.608871
143,Arcblock,ABT,ABT/USD,2018-05-02 12:20:06.608871
144,Dropil,DROP,DROP/USD,2018-05-02 12:20:06.608871
145,Enjin Coin,ENJ,ENJ/USD,2018-05-02 12:20:06.608871
146,Aragon,ANT,ANT/USD,2018-05-02 12:20:06.608871
147,Vertcoin,VTC,VTC/USD,2018-05-02 12:20:06.608871
148,Ignis,IGNIS,IGNIS/USD,2018-05-02 12:20:06.608871
149,GameCredits,GAME,GAME/USD,2018-05-02 12:20:06.608871
150,Bitcore,BTX2,BTX2/USD,2018-05-02 12:20:06.608871
151,Red Pulse,RPX,RPX/USD,2018-05-02 12:20:06.608871
152,Dent,DENT,DENT/USD,2018-05-02 12:20:06.608871
153,Litecoin Cash,LCC,LCC/USD,2018-05-02 12:20:06.608871
154,Scry.info,DDD,DDD/USD,2018-05-02 12:20:06.608871
155,Santiment Net...,SAN,SAN/USD,2018-05-02 12:20:06.608871
156,Raiden Networ...,RDN,RDN/USD,2018-05-02 12:20:06.608871
157,SingularityNET,AGI,AGI/USD,2018-05-02 12:20:06.608871
158,Dynamic Tradi...,DTR,DTR/USD,2018-05-02 12:20:06.608871
159,Ambrosus,AMB,AMB/USD,2018-05-02 12:20:06.608871
160,All Sports,SOC,SOC/USD,2018-05-02 12:20:06.608871
161,High Performa...,HPB,HPB/USD,2018-05-02 12:20:06.608871
162,MediBloc,MED,MED/USD,2018-05-02 12:20:06.608871
163,PayPie,PPP,PPP/USD,2018-05-02 12:20:06.608871
164,SONM,SNM,SNM/USD,2018-05-02 12:20:06.608871
165,Groestlcoin,GRS,GRS/USD,2018-05-02 12:20:06.608871
166,ETHLend,LEND,LEND/USD,2018-05-02 12:20:06.608871
167,BridgeCoin,BCO,BCO/USD,2018-05-02 12:20:06.608871
168,Blocknet,BLOCK,BLOCK/USD,2018-05-02 12:20:06.608871
169,TomoChain,TOMO,TOMO/USD,2018-05-02 12:20:06.608871
170,PACcoin,PAC,PAC/USD,2018-05-02 12:20:06.608871
171,DigitalNote,XDN,XDN/USD,2018-05-02 12:20:06.608871
172,SophiaTX,SPHTX,SPHTX/USD,2018-05-02 12:20:06.608871
173,Ubiq,UBQ,UBQ/USD,2018-05-02 12:20:06.608871
174,DEW,DEW,DEW/USD,2018-05-02 12:20:06.608871
175,ZClassic,ZCL,ZCL/USD,2018-05-02 12:20:06.608871
176,DATA,DTA,DTA/USD,2018-05-02 12:20:06.608871
177,Genesis Vision,GVT,GVT/USD,2018-05-02 12:20:06.608871
178,NavCoin,NAV,NAV/USD,2018-05-02 12:20:06.608871
179,Theta Token,THETA,THETA/USD,2018-05-02 12:20:06.608871
180,Cube,AUTO,AUTO/USD,2018-05-02 12:20:06.608871
181,Credits,CS,CS/USD,2018-05-02 12:20:06.608871
182,THEKEY,TKY,TKY/USD,2018-05-02 12:20:06.608871
183,BLOCKv,VEE,VEE/USD,2018-05-02 12:20:06.608871
184,AirSwap,AST,AST/USD,2018-05-02 12:20:06.608871
185,OST,OST,OST/USD,2018-05-02 12:20:06.608871
186,Pillar,PLR,PLR/USD,2018-05-02 12:20:06.608871
187,Asch,XAS,XAS/USD,2018-05-02 12:20:06.608871
188,IHT Real Esta...,IHT,IHT/USD,2018-05-02 12:20:06.608871
189,Primecoin,XPM,XPM/USD,2018-05-02 12:20:06.608871
190,SuperNET,UNITY,UNITY/USD,2018-05-02 12:20:06.608871
191,NANJCOIN,NANJ,NANJ/USD,2018-05-02 12:20:06.608871
192,Eidoo,EDO,EDO/USD,2018-05-02 12:20:06.608871
193,AdEx,ADX,ADX/USD,2018-05-02 12:20:06.608871
194,IoT Chain,ITC,ITC/USD,2018-05-02 12:20:06.608871
195,Bibox Token,BIX,BIX/USD,2018-05-02 12:20:06.608871
196,Ripio Credit ...,RCN,RCN/USD,2018-05-02 12:20:06.608871
197,Bread,BRD,BRD/USD,2018-05-02 12:20:06.608871
198,SingularDTV,SNGLS,SNGLS/USD,2018-05-02 12:20:06.608871
199,BitBay,BAY,BAY/USD,2018-05-02 12:20:06.608871
200,Ink,INK,INK/USD,2018-05-02 12:20:06.608871
201,Einsteinium,EMC2,EMC2/USD,2018-05-02 12:20:06.608871
202,AppCoins,APPC,APPC/USD,2018-05-02 12:20:06.608871
203,Quantum Resis...,QRL,QRL/USD,2018-05-02 12:20:06.608871
204,CloakCoin,CLOAK,CLOAK/USD,2018-05-02 12:20:06.608871
205,district0x,DNT,DNT/USD,2018-05-02 12:20:06.608871
206,Peercoin,PPC,PPC/USD,2018-05-02 12:20:06.608871
207,Streamr DATAcoin,DATA,DATA/USD,2018-05-02 12:20:06.608871
208,WaBi,WABI,WABI/USD,2018-05-02 12:20:06.608871
209,Delphy,DPY,DPY/USD,2018-05-02 12:20:06.608871
210,WePower,WPR,WPR/USD,2018-05-02 12:20:06.608871
211,VIBE,VIBE,VIBE/USD,2018-05-02 12:20:06.608871
212,Burst,BURST,BURST/USD,2018-05-02 12:20:06.608871
213,Telcoin,TEL,TEL/USD,2018-05-02 12:20:06.608871
214,ION,ION,ION/USD,2018-05-02 12:20:06.608871
215,SaluS,SLS,SLS/USD,2018-05-02 12:20:06.608871
216,UTRUST,UTK,UTK/USD,2018-05-02 12:20:06.608871
217,INS Ecosystem,INS,INS/USD,2018-05-02 12:20:06.608871
218,Crypterium,CRPT,CRPT/USD,2018-05-02 12:20:06.608871
219,Odyssey,OCN,OCN/USD,2018-05-02 12:20:06.608871
220,Tierion,TNT,TNT/USD,2018-05-02 12:20:06.608871
221,Jibrel Network,JNT,JNT/USD,2018-05-02 12:20:06.608871
222,Wings,WINGS,WINGS/USD,2018-05-02 12:20:06.608871
223,Viacoin,VIA,VIA/USD,2018-05-02 12:20:06.608871
224,Hydro Protocol,HOT,HOT/USD,2018-05-02 12:20:06.608871
225,Edgeless,EDG,EDG/USD,2018-05-02 12:20:06.608871
226,Pundi X [OLD],PXS,PXS/USD,2018-05-02 12:20:06.608871
227,Modum,MOD,MOD/USD,2018-05-02 12:20:06.608871
228,Electrify.Asia,ELEC,ELEC/USD,2018-05-02 12:20:06.608871
229,SpankChain,SPANK,SPANK/USD,2018-05-02 12:20:06.608871
230,YOYOW,YOYOW,YOYOW/USD,2018-05-02 12:20:06.608871
231,Counterparty,XCP,XCP/USD,2018-05-02 12:20:06.608871
232,QLINK,QLC,QLC/USD,2018-05-02 12:20:06.608871
233,MinexCoin,MNX,MNX/USD,2018-05-02 12:20:06.608871
234,LBRY Credits,LBC,LBC/USD,2018-05-02 12:20:06.608871
235,BitRent,RNTB,RNTB/USD,2018-05-02 12:20:06.608871
236,Triggers,TRIG,TRIG/USD,2018-05-02 12:20:06.608871
237,OriginTrail,TRAC,TRAC/USD,2018-05-02 12:20:06.608871
238,Pura,PURA,PURA/USD,2018-05-02 12:20:06.608871
239,MediShares,MDS,MDS/USD,2018-05-02 12:20:06.608871
240,KickCoin,KICK,KICK/USD,2018-05-02 12:20:06.608871
241,Oyster,PRL,PRL/USD,2018-05-02 12:20:06.608871
242,Blox,CDT,CDT/USD,2018-05-02 12:20:06.608871
243,TokenCard,TKN,TKN/USD,2018-05-02 12:20:06.608871
244,Etherparty,FUEL,FUEL/USD,2018-05-02 12:20:06.608871
245,Feathercoin,FTC,FTC/USD,2018-05-02 12:20:06.608871
246,Banca,BANCA,BANCA/USD,2018-05-02 12:20:06.608871
247,Internet Node...,INT,INT/USD,2018-05-02 12:20:06.608871
248,TaaS,TAAS,TAAS/USD,2018-05-02 12:20:06.608871
249,Safe Exchange...,SAFEX,SAFEX/USD,2018-05-02 12:20:06.608871
250,Electra,ECA,ECA/USD,2018-05-02 12:20:06.608871
251,BlockMason Cr...,BCPT,BCPT/USD,2018-05-02 12:20:06.608871
252,eBoost,EBST,EBST/USD,2018-05-02 12:20:06.608871
253,Wagerr,WGR,WGR/USD,2018-05-02 12:20:06.608871
254,Envion,EVN,EVN/USD,2018-05-02 12:20:06.608871
255,Steem Dollars,SBD,SBD/USD,2018-05-02 12:20:06.608871
256,Melon,MLN,MLN/USD,2018-05-02 12:20:06.608871
257,Rock,RKT,RKT/USD,2018-05-02 12:20:06.608871
258,Trinity Netwo...,TNC,TNC/USD,2018-05-02 12:20:06.608871
259,QunQun,QUN,QUN/USD,2018-05-02 12:20:06.608871
260,DATx,DATX,DATX/USD,2018-05-02 12:20:06.608871
261,BABB,BAX,BAX/USD,2018-05-02 12:20:06.608871
262,bitCNY,BITCNY,BITCNY/USD,2018-05-02 12:20:06.608871
263,CasinoCoin,CSC,CSC/USD,2018-05-02 12:20:06.608871
264,Gulden,NLG,NLG/USD,2018-05-02 12:20:06.608871
265,Datum,DAT,DAT/USD,2018-05-02 12:20:06.608871
266,Republic Prot...,REN,REN/USD,2018-05-02 12:20:06.608871
267,Mobius,MOBI,MOBI/USD,2018-05-02 12:20:06.608871
268,Metaverse ETP,ETP,ETP/USD,2018-05-02 12:20:06.608871
269,Soarcoin,SOAR,SOAR/USD,2018-05-02 12:20:06.608871
270,Experience Po...,XP,XP/USD,2018-05-02 12:20:06.608871
271,Ravencoin,RVN,RVN/USD,2018-05-02 12:20:06.608871
272,SwftCoin,SWFTC,SWFTC/USD,2018-05-02 12:20:06.608871
273,Presearch,PRE,PRE/USD,2018-05-02 12:20:06.608871
274,Universa,UTNP,UTNP/USD,2018-05-02 12:20:06.608871
275,EDUCare,EKT,EKT/USD,2018-05-02 12:20:06.608871
276,DECENT,DCT,DCT/USD,2018-05-02 12:20:06.608871
277,Lympo,LYM,LYM/USD,2018-05-02 12:20:06.608871
278,Shift,SHIFT,SHIFT/USD,2018-05-02 12:20:06.608871
279,Viberate,VIB,VIB/USD,2018-05-02 12:20:06.608871
280,CyberVein,CVT,CVT/USD,2018-05-02 12:20:06.608871
281,NAGA,NGC,NGC/USD,2018-05-02 12:20:06.608871
282,adToken,ADT,ADT/USD,2018-05-02 12:20:06.608871
283,Unikoin Gold,UKG,UKG/USD,2018-05-02 12:20:06.608871
284,True Chain,TRUE,TRUE/USD,2018-05-02 12:20:06.608871
285,MobileGo,MGO,MGO/USD,2018-05-02 12:20:06.608871
286,Tokenomy,TEN,TEN/USD,2018-05-02 12:20:06.608871
287,Sentinel,SENT,SENT/USD,2018-05-02 12:20:06.608871
288,YEE,YEE,YEE/USD,2018-05-02 12:20:06.608871
289,LinkEye,LET,LET/USD,2018-05-02 12:20:06.608871
290,ODEM,ODE,ODE/USD,2018-05-02 12:20:06.608871
291,Medicalchain,MTN,MTN/USD,2018-05-02 12:20:06.608871
292,Trade Token,TIO,TIO/USD,2018-05-02 12:20:06.608871
293,Zoin,ZOI,ZOI/USD,2018-05-02 12:20:06.608871
294,Elastic,XEL,XEL/USD,2018-05-02 12:20:06.608871
295,Sentinel Chain,SENC,SENC/USD,2018-05-02 12:20:06.608871
296,Humaniq,HMQ,HMQ/USD,2018-05-02 12:20:06.608871
297,COSS,COSS,COSS/USD,2018-05-02 12:20:06.608871
298,Zeepin,ZPT,ZPT/USD,2018-05-02 12:20:06.608871
299,CPChain,CPC,CPC/USD,2018-05-02 12:20:06.608871
300,Spectre.ai Di...,SXDT,SXDT/USD,2018-05-02 12:20:06.608871
301,Mothership,MSP,MSP/USD,2018-05-02 12:20:06.608871
302,Matchpool,GUP,GUP/USD,2018-05-02 12:20:06.608871
303,Lunyr,LUN,LUN/USD,2018-05-02 12:20:06.608871
304,Legolas Exchange,LGO,LGO/USD,2018-05-02 12:20:06.608871
305,Cofound.it,CFI,CFI/USD,2018-05-02 12:20:06.608871
306,TokenClub,TCT,TCT/USD,2018-05-02 12:20:06.608871
307,XinFin Network,XDCE,XDCE/USD,2018-05-02 12:20:06.608871
308,XTRABYTES,XBY,XBY/USD,2018-05-02 12:20:06.608871
309,UpToken,UP,UP/USD,2018-05-02 12:20:06.608871
310,Monetha,MTH,MTH/USD,2018-05-02 12:20:06.608871
311,Crown,CRW,CRW/USD,2018-05-02 12:20:06.608871
312,Synereo,AMP,AMP/USD,2018-05-02 12:20:06.608871
313,STK,STK,STK/USD,2018-05-02 12:20:06.608871
314,Dai,DAI,DAI/USD,2018-05-02 12:20:06.608871
315,Namecoin,NMC,NMC/USD,2018-05-02 12:20:06.608871
316,Mercury,MER,MER/USD,2018-05-02 12:20:06.608871
317,Phore,PHR,PHR/USD,2018-05-02 12:20:06.608871
318,Aeon,AEON,AEON/USD,2018-05-02 12:20:06.608871
319,AI Doctor,AIDOC,AIDOC/USD,2018-05-02 12:20:06.608871
320,Everex,EVX,EVX/USD,2018-05-02 12:20:06.608871
321,Cobinhood,COB,COB/USD,2018-05-02 12:20:06.608871
322,PotCoin,POT,POT/USD,2018-05-02 12:20:06.608871
323,Havven,HAV,HAV/USD,2018-05-02 12:20:06.608871
324,Refereum,RFR,RFR/USD,2018-05-02 12:20:06.608871
325,DIMCOIN,DIM,DIM/USD,2018-05-02 12:20:06.608871
326,DeepOnion,ONION,ONION/USD,2018-05-02 12:20:06.608871
327,Cappasity,CAPP,CAPP/USD,2018-05-02 12:20:06.608871
328,Agrello,DLT,DLT/USD,2018-05-02 12:20:06.608871
329,Bankex,BKX,BKX/USD,2018-05-02 12:20:06.608871
330,Propy,PRO,PRO/USD,2018-05-02 12:20:06.608871
331,DMarket,DMT,DMT/USD,2018-05-02 12:20:06.608871
332,ugChain,UGC,UGC/USD,2018-05-02 12:20:06.608871
333,ShipChain,SHIP,SHIP/USD,2018-05-02 12:20:06.608871
334,I/O Coin,IOC,IOC/USD,2018-05-02 12:20:06.608871
335,Aeron,ARN,ARN/USD,2018-05-02 12:20:06.608871
336,Unobtanium,UNO,UNO/USD,2018-05-02 12:20:06.608871
337,FirstBlood,1ST,1ST/USD,2018-05-02 12:20:06.608871
338,Pepe Cash,PEPECASH,PEPECASH/USD,2018-05-02 12:20:06.608871
339,Lamden,TAU,TAU/USD,2018-05-02 12:20:06.608871
340,ERA,ERA,ERA/USD,2018-05-02 12:20:06.608871
341,ECC,ECC,ECC/USD,2018-05-02 12:20:06.608871
342,Dock,DOCK,DOCK/USD,2018-05-02 12:20:06.608871
343,Energo,TSL,TSL/USD,2018-05-02 12:20:06.608871
344,SunContract,SNC,SNC/USD,2018-05-02 12:20:06.608871
345,Bean Cash,BITB,BITB/USD,2018-05-02 12:20:06.608871
346,Voxels,VOX,VOX/USD,2018-05-02 12:20:06.608871
347,HempCoin,THC,THC/USD,2018-05-02 12:20:06.608871
348,WeTrust,TRST,TRST/USD,2018-05-02 12:20:06.608871
349,Decision Token,HST,HST/USD,2018-05-02 12:20:06.608871
350,Bodhi,BOT,BOT/USD,2018-05-02 12:20:06.608871
351,Peerplays,PPY,PPY/USD,2018-05-02 12:20:06.608871
352,Dimecoin,DIME,DIME/USD,2018-05-02 12:20:06.608871
353,Blocktix,TIX,TIX/USD,2018-05-02 12:20:06.608871
354,HTMLCOIN,HTML,HTML/USD,2018-05-02 12:20:06.608871
355,Qbao,QBT,QBT/USD,2018-05-02 12:20:06.608871
356,EchoLink,EKO,EKO/USD,2018-05-02 12:20:06.608871
357,Fortuna,FOTA,FOTA/USD,2018-05-02 12:20:06.608871
358,Zeusshield,ZSC,ZSC/USD,2018-05-02 12:20:06.608871
359,Alphacat,ACAT,ACAT/USD,2018-05-02 12:20:06.608871
360,Omni,OMNI,OMNI/USD,2018-05-02 12:20:06.608871
361,Bloom,BLT,BLT/USD,2018-05-02 12:20:06.608871
362,SHIELD,XSH,XSH/USD,2018-05-02 12:20:06.608871
363,Olympus Labs,MOT,MOT/USD,2018-05-02 12:20:06.608871
364,Rentberry,BERRY,BERRY/USD,2018-05-02 12:20:06.608871
365,StakeNet,XSN,XSN/USD,2018-05-02 12:20:06.608871
366,BlackCoin,BLK,BLK/USD,2018-05-02 12:20:06.608871
367,U Network,UUU,UUU/USD,2018-05-02 12:20:06.608871
368,Measurable Da...,MDT,MDT/USD,2018-05-02 12:20:06.608871
369,Switcheo,SWH,SWH/USD,2018-05-02 12:20:06.608871
370,Selfkey,KEY,KEY/USD,2018-05-02 12:20:06.608871
371,SpaceChain,SPC,SPC/USD,2018-05-02 12:20:06.608871
372,Moeda Loyalty...,MDA,MDA/USD,2018-05-02 12:20:06.608871
373,Restart Energ...,MWAT,MWAT/USD,2018-05-02 12:20:06.608871
374,Karma,KRM,KRM/USD,2018-05-02 12:20:06.608871
375,300 Token,300,300/USD,2018-05-02 12:20:06.608871
376,Hive Project,HVN,HVN/USD,2018-05-02 12:20:06.608871
377,Numeraire,NMR,NMR/USD,2018-05-02 12:20:06.608871
378,Aurora DAO,AURA,AURA/USD,2018-05-02 12:20:06.608871
379,LEOcoin,LEO,LEO/USD,2018-05-02 12:20:06.608871
380,AICHAIN,AIT,AIT/USD,2018-05-02 12:20:06.608871
381,OAX,OAX,OAX/USD,2018-05-02 12:20:06.608871
382,Grid+,GRID,GRID/USD,2018-05-02 12:20:06.608871
383,Tao,XTO,XTO/USD,2018-05-02 12:20:06.608871
384,Diamond,DMD,DMD/USD,2018-05-02 12:20:06.608871
385,Radium,RADS,RADS/USD,2018-05-02 12:20:06.608871
386,Blockport,BPT,BPT/USD,2018-05-02 12:20:06.608871
387,VeriCoin,VRC,VRC/USD,2018-05-02 12:20:06.608871
388,Databits,DTB,DTB/USD,2018-05-02 12:20:06.608871
389,Matryx,MTX,MTX/USD,2018-05-02 12:20:06.608871
390,Datawallet,DXT,DXT/USD,2018-05-02 12:20:06.608871
391,Bitcoin Green,BITG,BITG/USD,2018-05-02 12:20:06.608871
392,FairCoin,FAIR,FAIR/USD,2018-05-02 12:20:06.608871
393,DADI,DADI,DADI/USD,2018-05-02 12:20:06.608871
394,Lykke,LKK,LKK/USD,2018-05-02 12:20:06.608871
395,Pascal Coin,PASC,PASC/USD,2018-05-02 12:20:06.608871
